split,trajectory,gt_segment,model,constraint_enabled,rmse_x_m,rmse_y_m,rmse_2d_m,mae_x_m,mae_y_m,mae_2d_m,median_error_m,p90_error_m,p95_error_m,max_error_m,pct_below_5cm,pct_below_10cm,pct_below_20cm,pct_below_50cm,n_samples
val,10lup_trilat_gt,P2_to_P3,EKF only,False,0.055656295949359454,0.22519651807224883,0.2319721858987999,0.03377262794291172,0.2113739026806249,0.22320171014135226,0.2287103708646846,0.30980430612122983,0.32904580404796663,0.34760552819914275,0.0,0.0,44.134078212290504,100.0,179
val,10lup_trilat_gt,P2_to_P3,EKF + LSTM residual,False,0.03903855269657116,0.11400745139717659,0.12050604785952672,0.030055264771565466,0.10833631161920106,0.11671690837673547,0.12024378147746241,0.15484998642797337,0.16237310427526316,0.17404024375244942,1.675977653631285,29.05027932960894,100.0,100.0,179
val,10lup_trilat_gt,P2_to_P3,EKF + LSTM + trajectory constraint,False,0.03903855269657116,0.11400745139717659,0.12050604785952672,0.030055264771565466,0.10833631161920106,0.11671690837673547,0.12024378147746241,0.15484998642797337,0.16237310427526316,0.17404024375244942,1.675977653631285,29.05027932960894,100.0,100.0,179
val,10lup_trilat_gt,P1_to_P1,Raw trilateration,False,0.02424388496668145,0.10984780115333685,0.11249135689687771,0.019812804111311536,0.06108557808187925,0.0695113277135115,0.03127690093869611,0.2320033614396067,0.2864005359142787,0.3666667560758508,73.6318407960199,80.09950248756219,87.56218905472637,100.0,201
val,10lup_trilat_gt,P1_to_P1,EKF only,False,0.04093555704427608,0.10635990142352535,0.1139655582241723,0.03614415841085246,0.05985573634841783,0.08031703887219196,0.04878646575106641,0.20592776880608582,0.28763379480962564,0.3394782736656442,52.23880597014925,77.11442786069652,89.55223880597015,100.0,201
val,10lup_trilat_gt,P1_to_P1,EKF + LSTM residual,False,0.1789751278200436,0.07878562921797692,0.19554864292414176,0.16724546006173618,0.04897408640185929,0.19033704597411283,0.19138862342621993,0.2471684699494511,0.2537993569546463,0.27065238877139985,0.0,5.472636815920398,56.71641791044776,100.0,201
val,10lup_trilat_gt,P1_to_P1,EKF + LSTM + trajectory constraint,False,0.1789751278200436,0.07878562921797692,0.19554864292414176,0.16724546006173618,0.04897408640185929,0.19033704597411283,0.19138862342621993,0.2471684699494511,0.2537993569546463,0.27065238877139985,0.0,5.472636815920398,56.71641791044776,100.0,201
val,10lup1_trilat_gt,P4_to_P1,Raw trilateration,False,0.047328083349457775,0.23098904198200038,0.23578779652326276,0.03284098620925814,0.22755014131811382,0.23303899942961706,0.233067601462538,0.28046712280704117,0.2938827321847728,0.32187538907745133,0.0,0.0,18.413597733711047,100.0,353
val,10lup1_trilat_gt,P4_to_P1,EKF only,False,0.033546725879086144,0.18066418961093958,0.1837523665833561,0.02030362131145976,0.16789267129086435,0.17268040901674706,0.16474245532930226,0.25416568832979264,0.2807810447347367,0.3130026166059647,0.0,15.58073654390935,64.30594900849859,100.0,353
val,10lup1_trilat_gt,P4_to_P1,EKF + LSTM residual,False,0.02331080554538381,0.07856124281103573,0.08194670540777835,0.01703334056163538,0.0631794479537269,0.06734142779335615,0.05702241547334132,0.12977017920616013,0.15916504688121397,0.24199493935399743,45.3257790368272,73.65439093484419,99.71671388101983,100.0,353
val,10lup1_trilat_gt,P4_to_P1,EKF + LSTM + trajectory constraint,False,0.02331080554538381,0.07856124281103573,0.08194670540777835,0.01703334056163538,0.0631794479537269,0.06734142779335615,0.05702241547334132,0.12977017920616013,0.15916504688121397,0.24199493935399743,45.3257790368272,73.65439093484419,99.71671388101983,100.0,353
val,10lup1_trilat_gt,P1_to_P2,Raw trilateration,False,0.16296285357532309,0.07067908956923437,0.17763002377905612,0.1486517006730319,0.04547548072421359,0.16739170162425507,0.1697071146644812,0.24242054967043977,0.256367053666529,0.28282744445063807,3.5175879396984926,12.562814070351758,67.8391959798995,100.0,199
val,10lup1_trilat_gt,P1_to_P2,EKF only,False,0.1844769661499981,0.09017201028432092,0.2053356824290976,0.1771317040260277,0.06899936837751451,0.20271683179669786,0.20384755485202397,0.24355582052838573,0.25175995682497276,0.30782675700115003,0.0,0.0,45.7286432160804,100.0,199
val,10lup1_trilat_gt,P1_to_P2,EKF + LSTM residual,False,0.046208012865377276,0.03793313382616463,0.05978380294729156,0.040859781769358956,0.021859176207271427,0.05131187793143707,0.04485175611848285,0.08046321449323665,0.10656598515732289,0.1841645436980455,58.291457286432156,94.47236180904522,100.0,100.0,199
val,10lup1_trilat_gt,P1_to_P2,EKF + LSTM + trajectory constraint,False,0.046208012865377276,0.03793313382616463,0.05978380294729156,0.040859781769358956,0.021859176207271427,0.05131187793143707,0.04485175611848285,0.08046321449323665,0.10656598515732289,0.1841645436980455,58.291457286432156,94.47236180904522,100.0,100.0,199
val,10lup1_trilat_gt,P2_to_P3,Raw trilateration,False,0.1513034205663558,0.100896485786461,0.18185935752426122,0.1357055055497266,0.08915049000784914,0.17301204178720625,0.16836917324560108,0.242606047070844,0.273115457299194,0.33048652094216174,3.5175879396984926,7.537688442211055,72.8643216080402,100.0,199
val,10lup1_trilat_gt,P2_to_P3,EKF only,False,0.04614426701847886,0.11576500226863126,0.12462274723712713,0.03772757160182783,0.09732132325276224,0.11105958885085902,0.11562535841709169,0.1887413763169,0.19576324284836275,0.21163581316614888,17.587939698492463,42.211055276381906,95.47738693467338,100.0,199
val,10lup1_trilat_gt,P2_to_P3,EKF + LSTM residual,False,0.041428205824678016,0.03446442114371037,0.053889633164672,0.03025818009699495,0.030453809277250846,0.046609913593639196,0.040692377185531134,0.091069738419228,0.09791351520307569,0.10979995785027202,58.79396984924623,95.47738693467338,100.0,100.0,199
