time,d1,d2,d3,t_uwb_1,t_uwb_2,t_uwb_3,el1,el2,el3,x,y,x_kf,y_kf,x_true,y_true,vx,vy,vx_smooth,vy_smooth
0.285643767,6.44,1.55,9.76,0.074030784,0.087975781,0.060229794,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.864767338,1.122953625,1.01971344,1,0.053671479,-0.112150083,0.053199874,-0.111164767
0.290781448,6.44,1.55,9.76,0.079168465,0.093113462,0.065367475,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.865041067,1.122381654,1.020215123,1,0.052179797,-0.109032092,0.052682331,-0.110082255
0.296071938,6.44,1.55,9.76,0.084458955,0.098403952,0.070657965,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.865311137,1.121817332,1.020731727,1,0.051513023,-0.107637906,0.051954233,-0.10855984
0.301200259,6.44,1.55,9.76,0.089587276,0.103532273,0.075786286,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.865577623,1.121260505,1.021232495,1,0.051576234,-0.107768955,0.051252212,-0.107091951
0.306337675,6.44,1.55,9.76,0.094724692,0.108669689,0.080923702,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.865840598,1.120711019,1.021734152,1,0.050830633,-0.106210165,0.050729084,-0.105997857
0.311479736,6.44,1.55,9.76,0.099866753,0.11381175,0.086065763,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.866100132,1.120168727,1.022236262,1,0.050161374,-0.104810637,0.050245864,-0.104987219
0.316618412,6.44,1.55,9.76,0.105005429,0.118950426,0.091204439,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.866356296,1.119633484,1.022738042,1,0.049564157,-0.103561622,0.049621781,-0.10368228
0.321749632,6.44,1.55,9.76,0.110136649,0.124081646,0.096335659,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.866609155,1.119105151,1.023239094,1,0.049096922,-0.102584717,0.048994976,-0.102371651
0.326852613,6.44,1.55,9.76,0.11523963,0.129184627,0.10143864,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.866858774,1.11858359,1.023737388,1,0.048455817,-0.10124426,0.048010761,-0.101555756
0.331987694,6.44,1.55,9.76,0.120374711,0.134319708,0.106573721,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.867105219,1.118068668,1.024238817,1,0.047696611,-0.099657018,0.04648336,-0.10076861
0.337121142,6.44,1.55,9.76,0.125508159,0.139453156,0.111707169,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.867348549,1.117560257,1.024740086,1,0.045240298,-0.100731164,0.044897461,-0.099814667
0.342212368,6.44,1.53,9.76,0.130599385,0.000440754,0.116798395,6.358710561,1.140394669,9.706554487,0.898851607,1.042997707,0.867567968,1.117038867,1.025237232,1,0.041927153,-0.099625892,0.043472614,-0.102613013
0.347536052,6.44,1.53,9.76,0.135923069,0.005764438,0.122122079,6.358710561,1.140394669,9.706554487,0.898851607,1.042997707,0.86778466,1.116523986,1.025757078,1,0.041167428,-0.097814999,0.042049443,-0.108705699
0.352678752,6.44,1.53,9.76,0.141065769,0.010907138,0.127264779,6.358710561,1.140394669,9.706554487,0.898851607,1.042997707,0.867998677,1.116015489,1.02625925,1,0.04133158,-0.11523599,0.041002594,-0.114214239
0.357828742,6.46,1.53,9.76,0.002173878,0.016057128,0.132414769,6.378965433,1.140394669,9.706554487,0.898851607,1.017300496,0.868210069,1.115337659,1.026762135,1,0.040580753,-0.130120453,0.028282413,-0.105351569
